user_id,len,mean
0,6317,0.981478549945
1,6240,0.987980769231
2,6211,0.960553856062
3,5581,0.959147106253
4,5426,0.236454109842
5,5400,0.988703703704
6,5398,0.998703223416
7,5237,0.164789001337
8,5185,0.978399228544
9,4989,0.788935658449
10,4957,0.368771434335
11,4714,0.460967331353
12,4625,0.979027027027
13,4563,0.99627438089
14,4543,0.982390490865
15,4443,0.995498537025
16,4435,0.486358511838
17,4420,0.981674208145
18,4248,0.370998116761
19,4233,0.904559414127
20,4176,0.926245210728
21,4170,0.997601918465
22,4148,0.367888138862
23,4141,0.990340497464
24,4116,0.788386783285
25,4108,0.414313534567
26,4059,0.976595220498
27,4035,0.992317224287
28,3989,0.930809726749
29,3976,0.99823943662
30,3957,0.896638867829
31,3952,0.326923076923
32,3950,0.226582278481
33,3938,0.972067039106
34,3932,0.802390640895
35,3929,0.914736574192
36,3893,0.959157462111
37,3857,0.519056261343
38,3740,0.355347593583
39,3737,0.174471501204
40,3714,0.950726978998
41,3632,0.943281938326
42,3626,0.912851627137
43,3618,0.260917634052
44,3610,0.334349030471
45,3606,0.792290626733
46,3598,0.104780433574
47,3586,0.854712771891
48,3585,0.943654114365
49,3580,0.593016759777
50,3564,0.666666666667
51,3550,0.991267605634
52,3526,0.300056721497
53,3506,0.749572162008
54,3503,0.93519840137
55,3486,0.832185886403
56,3470,0.683573487032
57,3458,0.998843262001
58,3444,0.191927990708
59,3361,0.989883963106
60,3348,0.892174432497
61,3336,0.0959232613909
62,3326,0.709861695731
63,3324,0.998796630566
64,3313,0.927558104437
65,3283,0.910447761194
66,3273,0.575924228537
67,3265,0.983767228178
68,3260,0.747852760736
69,3258,0.962246777164
70,3216,0.901741293532
71,3214,0.449595519602
72,3200,0.9475
73,3187,0.411044869783
74,3183,0.290292177191
75,3164,0.978508217446
76,3151,0.952396064741
77,3138,0.940726577438
78,3133,0.923076923077
79,3131,0.995209198339
80,3118,0.970173187941
81,3100,0.983225806452
82,3092,0.985446313066
83,3090,0.957281553398
84,3089,0.936872774361
85,3073,0.506671005532
86,3067,0.95696119987
87,3066,0.297455968689
88,3059,0.211180124224
89,3038,0.70836076366
90,3037,0.629568653276
91,3030,0.977887788779
92,3025,0.941487603306
93,3025,0.874049586777
94,3017,0.759363606231
95,3009,0.793619142572
96,3008,0.542885638298
97,2997,0.650650650651
98,2989,0.974907995985
99,2988,0.89625167336
100,2987,0.325075326414
101,2984,0.945710455764
102,2978,0.98522498321
103,2953,0.932949542838
104,2945,0.41324278438
105,2936,0.856948228883
106,2922,0.98083504449
107,2909,0.849089034032
108,2898,0.272946859903
109,2887,0.376169033599
110,2886,0.908177408177
111,2885,0.958058925477
112,2883,0.931668400971
113,2882,0.580152671756
114,2871,0.198885405782
115,2858,0.682295311407
116,2850,0.977894736842
117,2837,0.443426154388
118,2831,0.937477922995
119,2819,0.546293011706
120,2811,0.919245819993
121,2806,0.858873841768
122,2804,0.791012838802
123,2799,0.296177206145
124,2784,0.876077586207
125,2780,0.343525179856
126,2777,0.848397551314
127,2776,0.975864553314
128,2774,0.990987743331
129,2772,0.442640692641
130,2769,0.174792343806
131,2760,0.775724637681
132,2759,0.930409568684
133,2757,0.49401523395
134,2751,0.986550345329
135,2747,0.979250091008
136,2734,0.862838332114
137,2731,0.496521420725
138,2728,0.8357771261
139,2722,0.620867009552
140,2719,0.642883413019
141,2717,0.417372101583
142,2716,0.399852724595
143,2712,0.827802359882
144,2709,0.880029531192
145,2702,0.39674315322
146,2695,0.641558441558
147,2692,0.512258543834
148,2687,0.386304428731
149,2687,0.473390398214
150,2687,0.236323036844
151,2678,0.933905899925
152,2655,0.382297551789
153,2654,0.975885455916
154,2643,0.937949300038
155,2638,0.92873388931
156,2637,0.876753886993
157,2613,0.35208572522
158,2601,0.845444059977
159,2594,0.736314572089
160,2569,0.83223043986
161,2561,0.953533775869
162,2555,0.928375733855
163,2552,0.113244514107
164,2550,0.95568627451
165,2550,0.798431372549
166,2538,0.933018124507
167,2537,0.304296413086
168,2537,0.911312573906
169,2535,0.5483234714
170,2532,0.511848341232
171,2524,0.977416798732
172,2524,0.814976228209
