user_id,user_age,ts_listen,media_id,album_id,context_type,release_date,platform_name,platform_family,media_duration,listen_type,user_gender,genre_id,artist_id,is_listened
258,29,147791645.2,79041527,7858030,0,20140610,0,0,257,0,0,174621,377827,0
258,29,147792807.8,132950112,14141638,2,20161028,0,0,228,0,0,0,13501,1
258,29,147793036.3,62724015,6157080,3,20121205,0,0,233,0,0,7,429675,1
258,29,147798497.5,133661814,14238976,3,19580924,0,0,225,0,0,0,429675,1
258,29,147798520.5,62724015,6157080,3,20121205,0,0,233,0,0,7,429675,1
258,29,147798543.8,62724019,6157080,3,20121205,0,0,213,0,0,7,429675,0
258,29,147798545.9,8011850,739505,3,20101005,0,0,220,0,0,7,429675,0
258,29,147798548,62723997,6157078,3,20121205,0,0,178,0,0,7,429675,1
258,29,147798565.8,8011853,739505,3,20101005,0,0,190,0,0,7,429675,1
258,29,147799274.2,117621784,12212230,0,20160129,0,0,211,0,0,0,1371201,1
258,29,147799295.6,113775336,11783884,0,20151204,0,0,212,0,0,0,4999707,1
258,29,147799316.8,119682452,12470032,0,20160422,0,0,235,0,0,0,57423,1
258,29,147799340.4,105970320,11045496,0,20150821,0,0,227,0,0,0,5203250,1
258,29,147799363.2,125970403,13257143,0,20160603,0,0,189,0,0,0,4999707,1
258,29,147799382.1,107619632,11219532,0,20150918,0,0,214,0,0,0,383528,1
258,29,147799403.5,123807484,12979426,0,20160502,0,0,183,0,0,0,11971,1
258,29,147799421.8,117678828,12219078,0,20151012,0,0,190,0,0,0,468920,1
258,29,147799440.8,120211438,12536552,0,20160218,0,0,251,0,0,0,9952892,1
258,29,147799466,120026876,12511986,0,20160226,0,0,248,0,0,0,9551192,1
258,29,147799490.8,113989164,11805542,0,20151127,0,0,213,0,0,0,5876247,1
258,29,147799512.1,66020857,6462548,0,20100302,0,0,227,0,0,297,5828,1
258,29,147799534.9,119816528,12486962,0,20160229,0,0,225,0,0,0,471208,1
258,29,147799557.4,131607048,13980236,0,20160909,0,0,241,0,0,0,493435,1
258,29,147799581.5,119972038,12507178,0,20160302,0,0,214,0,0,0,9930130,1
258,29,147799600.4,114396428,11848922,0,20151204,0,0,212,0,0,0,5306539,1
258,29,147801799.2,60978718,5969396,0,20120927,0,0,225,0,0,7,564,1
258,29,147801822.2,3088067,299109,0,20021231,0,0,259,0,0,734,12558,1
258,29,147801848.1,95978792,9761230,0,20150403,0,0,186,0,0,27,5068032,1
258,29,147801866.7,17199803,1610671,0,20101011,0,0,183,0,0,7,555208,0
258,29,147801867.3,3587258,338900,0,20061023,0,0,182,0,0,50,11963,0
