user_id,is_listened
0,6317
1,6240
2,6211
3,5581
4,5426
5,5400
6,5398
7,5237
8,5185
9,4989
10,4957
11,4714
12,4625
13,4563
14,4543
15,4443
16,4435
17,4420
18,4248
19,4233
20,4176
21,4170
22,4148
23,4141
24,4116
25,4108
26,4059
27,4035
28,3989
29,3976
30,3957
31,3952
32,3950
33,3938
34,3932
35,3929
36,3893
37,3857
38,3740
39,3737
40,3714
41,3632
42,3626
43,3618
44,3610
45,3606
46,3598
47,3586
48,3585
49,3580
50,3564
51,3550
52,3526
53,3506
54,3503
55,3486
56,3470
57,3458
58,3444
59,3361
60,3348
61,3336
62,3326
63,3324
64,3313
65,3283
66,3273
67,3265
68,3260
69,3258
70,3216
71,3214
72,3200
73,3187
74,3183
75,3164
76,3151
77,3138
78,3133
79,3131
80,3118
81,3100
82,3092
83,3090
84,3089
85,3073
86,3067
87,3066
88,3059
89,3038
90,3037
91,3030
92,3025
93,3025
94,3017
95,3009
96,3008
97,2997
98,2989
99,2988
100,2987
101,2984
102,2978
103,2953
104,2945
105,2936
106,2922
107,2909
108,2898
109,2887
110,2886
111,2885
112,2883
113,2882
114,2871
115,2858
116,2850
117,2837
118,2831
119,2819
120,2811
121,2806
122,2804
123,2799
124,2784
125,2780
126,2777
127,2776
128,2774
129,2772
130,2769
131,2760
132,2759
133,2757
134,2751
135,2747
136,2734
137,2731
138,2728
139,2722
140,2719
141,2717
142,2716
143,2712
144,2709
145,2702
146,2695
147,2692
148,2687
149,2687
150,2687
151,2678
152,2655
153,2654
154,2643
155,2638
156,2637
157,2613
158,2601
159,2594
160,2569
161,2561
162,2555
163,2552
164,2550
165,2550
166,2538
167,2537
168,2537
169,2535
170,2532
171,2524
172,2524
173,2517
174,2516
175,2510
176,2503
177,2501
178,2500
179,2500
180,2497
181,2494
182,2490
183,2489
184,2484
185,2482
186,2481
187,2478
188,2476
189,2476
190,2475
191,2472
192,2467
193,2459
194,2447
195,2444
196,2443
197,2441
198,2440
199,2436
200,2434
201,2413
202,2408
203,2400
204,2391
205,2388
206,2383
207,2373
208,2371
209,2371
210,2368
211,2367
212,2365
213,2363
214,2362
215,2359
216,2356
217,2352
218,2348
219,2338
220,2337
221,2335
222,2330
223,2329
224,2323
225,2320
226,2319
227,2319
228,2316
229,2314
230,2311
231,2306
232,2305
233,2302
234,2301
235,2301
236,2298
237,2296
238,2295
239,2294
240,2291
241,2288
242,2285
243,2283
244,2282
245,2282
246,2278
247,2278
248,2278
249,2278
250,2277
251,2273
252,2272
253,2269
254,2268
255,2268
256,2265
257,2264
258,2264
259,2258
260,2258
261,2257
262,2247
263,2246
264,2236
265,2235
266,2233
267,2231
268,2229
269,2229
270,2227
271,2225
272,2224
273,2224
274,2223
275,2223
276,2223
277,2221
278,2220
279,2207
280,2205
281,2205
282,2201
283,2201
284,2199
285,2198
286,2198
287,2197
288,2196
289,2191
290,2190
291,2190
292,2182
293,2179
294,2179
295,2167
296,2167
297,2166
298,2162
299,2162
300,2162
301,2161
302,2154
303,2152
304,2149
305,2148
306,2145
307,2132
308,2132
309,2130
310,2127
311,2126
312,2119
313,2118
314,2115
315,2115
316,2114
317,2110
318,2107
319,2103
320,2100
321,2099
322,2098
323,2095
324,2094
325,2088
326,2085
327,2083
328,2083
329,2079
330,2077
331,2071
332,2067
333,2065
334,2065
335,2060
336,2057
337,2052
338,2051
339,2050
340,2048
341,2046
342,2040
343,2040
344,2038
345,2036
346,2036
347,2035
348,2034
349,2033
350,2031
351,2024
352,2022
353,2018
354,2017
355,2016
356,2015
357,2014
358,2011
359,2010
360,2009
361,2007
362,2007
363,2006
364,2004
365,2002
366,2000
367,1999
368,1996
369,1994
370,1994
371,1988
372,1985
373,1981
374,1980
375,1978
376,1977
377,1976
378,1975
379,1973
380,1970
381,1969
382,1969
383,1967
384,1965
385,1961
386,1959
387,1959
388,1959
389,1958
390,1956
391,1955
392,1954
393,1954
394,1952
395,1951
396,1950
397,1946
398,1945
399,1943
400,1941
401,1941
402,1939
403,1938
404,1938
405,1932
406,1932
407,1930
408,1930
409,1929
410,1925
411,1924
412,1924
413,1924
414,1921
415,1920
416,1919
417,1918
418,1917
419,1917
420,1916
421,1913
422,1910
423,1909
424,1908
425,1907
426,1904
427,1902
428,1900
429,1898
430,1896
431,1895
432,1895
433,1890
434,1887
435,1883
436,1882
437,1882
438,1878
439,1878
440,1877
